,x,y,u (m/s),v (m/s),p (Pa)
2408,1.2006239,0.06475911,0.03188236,4.30934E-06,0.002804929
2409,1.2106175,0.04857268,0.025035772,2.7466E-06,0.00277638
2410,1.2206113,0.032381788,0.017438654,1.3538E-06,0.002747821
2411,1.0251976,0.3776743,0.017373314,-1.37101E-06,0.003301442
2412,1.0351437,0.3615318,0.0249395,-2.73219E-06,0.00327337
2413,1.0450845,0.34542146,0.03175265,-4.20507E-06,0.003245318
2414,1.0550218,0.32936352,0.037809376,-5.52506E-06,0.003217283
2415,1.0649492,0.3133849,0.043108106,-6.45334E-06,0.003189283
2416,1.07484,0.29752168,0.047649883,-6.82731E-06,0.00316139
2417,1.0846545,0.28181678,0.051440828,-6.56588E-06,0.003133712
2418,1.0943636,0.26630914,0.05449536,-5.6665E-06,0.003106324
2419,1.103966,0.2510121,0.05683792,-4.19967E-06,0.003079224
2420,1.1134887,0.23589256,0.05849898,-2.2936E-06,0.00305233
2421,1.1229767,0.22087087,0.05950508,-1.12713E-07,0.003025511
2422,1.1324772,0.20584585,0.059868947,2.15891E-06,0.002998627
2423,1.1419915,0.19080853,0.05958957,4.32026E-06,0.002971672
2424,1.1515474,0.17569886,0.058660045,6.19429E-06,0.002944567
2425,1.1611831,0.16041766,0.057058077,7.62755E-06,0.002917202
2426,1.170921,0.14489463,0.054748766,8.49901E-06,0.002889515
2427,1.1807591,0.12912077,0.051697567,8.73474E-06,0.002861513
2428,1.1906744,0.11315153,0.04788468,8.3291E-06,0.002833263
2429,1.2006363,0.097068176,0.043308076,7.35665E-06,0.002804857
2430,1.2106197,0.080929,0.037972506,5.96336E-06,0.00277637
2431,1.2206113,0.06475911,0.031880345,4.34458E-06,0.002747845
2432,1.2306051,0.04857268,0.025033891,2.72236E-06,0.002719303
2433,1.2405988,0.032381788,0.017437164,1.32298E-06,0.002690751
2434,1.0451097,0.3776743,0.017371777,-7.41449E-07,0.003245069
2435,1.055056,0.36153167,0.024937406,-1.46851E-06,0.003216963
2436,1.0649964,0.34542155,0.031750068,-2.22317E-06,0.003188877
2437,1.0749323,0.32936504,0.037806153,-2.83453E-06,0.003160811
2438,1.0848578,0.31339028,0.0431039,-3.13901E-06,0.003132781
2439,1.0947471,0.2975307,0.047645304,-3.02428E-06,0.003104855
2440,1.104564,0.28182656,0.051436998,-2.44401E-06,0.003077132
2441,1.1142803,0.2663165,0.054492977,-1.4074E-06,0.003049685
2442,1.1238931,0.25101623,0.056836873,2.20744E-08,0.00302252
2443,1.1334269,0.23589423,0.058498845,1.73441E-06,0.002995561
2444,1.142925,0.22087151,0.05950544,3.58874E-06,0.00296868
2445,1.1524343,0.20584644,0.05986954,5.43287E-06,0.002941742
2446,1.1619567,0.19080883,0.05959018,7.10087E-06,0.002914739
2447,1.1715195,0.17569906,0.058660485,8.45259E-06,0.002887592
2448,1.1811614,0.16041774,0.05705817,9.3676E-06,0.002860192
2449,1.1909038,0.14489463,0.054748394,9.75443E-06,0.002832477
2450,1.2007447,0.12912075,0.051696677,9.56417E-06,0.002804457
2451,1.2106615,0.11315152,0.047883302,8.81059E-06,0.002776197
2452,1.2206237,0.09706817,0.043306295,7.57941E-06,0.002747787
2453,1.2306073,0.080928996,0.03797048,6.01719E-06,0.002719302
2454,1.2405989,0.06475911,0.03187828,4.30995E-06,0.00269078
2455,1.2505926,0.04857268,0.025032016,2.66252E-06,0.002662243
2456,1.2605864,0.032381788,0.017435705,1.2782E-06,0.002633698
2457,1.0650225,0.37767428,0.017370956,-2.32407E-07,0.003188666
2458,1.0749701,0.361532,0.024936037,-4.44493E-07,0.003160524
2459,1.08491,0.34542286,0.03174804,-6.13716E-07,0.003132408
2460,1.0948421,0.32936758,0.037803654,-6.43661E-07,0.00310432
2461,1.1047633,0.31339398,0.043101225,-4.45045E-07,0.003076268
2462,1.1146529,0.29753533,0.04764279,5.77385E-08,0.003048307
2463,1.1244755,0.28182995,0.051435307,8.8978E-07,0.003020534
2464,1.1342018,0.2663177,0.054492228,2.03186E-06,0.002993026
2465,1.1438253,0.25101578,0.05683679,3.42061E-06,0.002965798
2466,1.153369,0.23589389,0.058499064,4.95717E-06,0.00293878
2467,1.1628757,0.22087222,0.05950581,6.52429E-06,0.002911846
2468,1.1723927,0.20584838,0.05987,7.99871E-06,0.002884859
2469,1.1819224,0.19081067,0.059590634,9.24728E-06,0.002857812
2470,1.191492,0.17570025,0.058660723,1.01594E-05,0.002830626
2471,1.2011396,0.16041817,0.057058003,1.06434E-05,0.002803193
2472,1.2108866,0.14489469,0.054747734,1.06328E-05,0.002775453
2473,1.2207304,0.12912074,0.051695533,1.01001E-05,0.002747415
2474,1.2306485,0.113151506,0.04788172,9.07449E-06,0.002719146
2475,1.2406112,0.09706816,0.04330438,7.6502E-06,0.002690734
2476,1.2505947,0.080928996,0.03796839,5.97271E-06,0.002662249
2477,1.2605864,0.06475911,0.031876206,4.21807E-06,0.002633731
2478,1.2705802,0.04857268,0.02503017,2.57418E-06,0.002605199
2479,1.2805738,0.032381788,0.017434295,1.22263E-06,0.002576662
2480,1.0849353,0.37767416,0.017370751,1.75054E-07,0.003132233
2481,1.0948844,0.36153233,0.024935424,3.74478E-07,0.003104058
2482,1.1048243,0.3454245,0.03174675,6.71802E-07,0.003075914
2483,1.1147546,0.3293711,0.037801683,1.10939E-06,0.003047802
2484,1.1246741,0.3133971,0.043099556,1.71889E-06,0.003019723
2485,1.134566,0.29753605,0.047642037,2.52695E-06,0.002991725
2486,1.1443958,0.2818283,0.05143533,3.55085E-06,0.002963901
2487,1.1541309,0.26631507,0.05449261,4.76248E-06,0.002936338
2488,1.1637629,0.2510146,0.056837115,6.09848E-06,0.002909056
2489,1.1733142,0.23589523,0.05849929,7.47123E-06,0.002881988
2490,1.182828,0.22087581,0.059506066,8.78493E-06,0.002855007
2491,1.1923518,0.20585313,0.059870362,9.94255E-06,0.002827978
2492,1.2018887,0.1908148,0.059591003,1.084E-05,0.002800889
2493,1.2114649,0.17570275,0.05866085,1.13886E-05,0.002773666
2494,1.2211182,0.16041909,0.05705766,1.15203E-05,0.002746203
2495,1.2308695,0.14489482,0.054746866,1.11897E-05,0.00271844
2496,1.2407161,0.12912072,0.0516942,1.03872E-05,0.002690386
2497,1.2506356,0.1131515,0.04788,9.15564E-06,0.002662109
2498,1.2605987,0.09706816,0.043302387,7.59491E-06,0.002633695
2499,1.2705823,0.080928996,0.037966277,5.84799E-06,0.002605211
2500,1.280574,0.06475911,0.031874157,4.08047E-06,0.002576697
2501,1.2905676,0.04857268,0.025028376,2.46378E-06,0.00254817
2502,1.3005614,0.032381788,0.017432945,1.15903E-06,0.002519639
2503,1.1048473,0.3776739,0.017371075,4.96372E-07,0.003075773
2504,1.1147966,0.36153224,0.02493559,1.02046E-06,0.003047572
2505,1.1247374,0.34542522,0.031746518,1.68489E-06,0.003019399
2506,1.1346701,0.3293734,0.03780087,2.48375E-06,0.002991254
2507,1.1445944,0.31339973,0.04309874,3.41523E-06,0.002963136
2508,1.1544919,0.29753616,0.047642067,4.46783E-06,0.002935094
2509,1.1643271,0.2818268,0.051435836,5.63207E-06,0.002907227
2510,1.1740676,0.26631528,0.05449289,6.88007E-06,0.002879621
2511,1.1837045,0.25101846,0.05683703,8.15023E-06,0.002852298
2512,1.1932609,0.23590238,0.05849913,9.36975E-06,0.00282519
2513,1.2027805,0.22088425,0.05950612,1.04632E-05,0.002798169
2514,1.2123109,0.20586102,0.059870645,1.13536E-05,0.002771099
2515,1.2218548,0.1908208,0.059591312,1.19607E-05,0.002743971
2516,1.2314379,0.17570606,0.058660872,1.22125E-05,0.002716713
