x,y,u (m/s),v (m/s),p (Pa)
0.0038642485568008,0.0018906336084893,0.0065450308289251,-2.6314865053895176e-06,1.002012770458366
0.0028930191889792,0.0027903806731252,0.0092767497748499,3.447851484574058e-05,1.002152515480769
0.0053886481041407,0.0019586734935528,0.0067314241431181,4.808851700324615e-06,1.0015976256838988
0.0071327672565028,0.0011794434324284,0.0041929501221834,4.568737819424338e-06,1.000999138667636
0.008332467187388,0.000658296132357123,0.0023989936435688,-3.7853728985716176e-06,1.000644547103128
0.0085416456153073,0.0011668040636261,0.0041726465399418,-1.1580984375352113e-05,1.0006007808015018
0.0097214856889078,0.0006650800678282169,0.0024360982117802,-3.438697679291636e-07,1.000196232550636
0.0069557219170494,0.019308539748445,0.0025293560077751,7.54731324295083e-06,1.0009166061865045
0.0068322048685361,0.0187364265491942,0.00452746119126,1.8295002911489263e-05,1.0009486286903966
0.005637887746252,0.0180269399287715,0.006871957169882,9.858057707898193e-06,1.0012622080388347
0.0068930404025142,0.001897173575312,0.0065324308957412,2.2396562732511923e-06,1.0011077066025733
0.004835453767687,0.0166403782328458,0.0109527675913271,2.666398387828132e-05,1.00168458413607
0.0032431487764673,0.0152778848961091,0.0140288873939248,1.2925069925876098e-05,1.0018066351913235
0.0045793130595765,0.0031914225639484,0.0103403178989813,1.1282867071654728e-05,1.001843755241884
0.0034156014856479,0.0045340657367151,0.0136981118566846,5.256573284946641e-05,1.0020701811898596
0.0062604465884134,0.0031732258876649,0.0103036983896175,7.103913490202159e-06,1.0014236363033016
0.009857676734811,0.0011484306914144,0.0041221726087873,-7.295272421049044e-07,1.000139749146779
0.0111104503733607,0.0006707149968227656,0.002455592417056,-4.4899981017695133e-07,0.999812859527497
0.0083439999127739,0.0018041122482453,0.0062718139851295,-2.3576895619621783e-05,1.0007207763600816
0.0096220770626878,0.0017301361289662,0.0060640892536396,-2.81196742966354e-07,1.000228899610397
0.0081086474430837,0.0186087217142264,0.0050023400329192,2.605649956148932e-05,1.0006008933757875
0.0083476448029969,0.0192988147008459,0.0025967663729786,1.036090642514034e-05,1.0005471172487046
0.0072397040154038,0.0178384755372113,0.0075119847442273,4.8749778654265045e-05,1.0009007839244977
0.0064121713885489,0.0169241827651343,0.0101694698368261,3.967913472865891e-05,1.0011014673092762
0.0112476934006291,0.0011828378100337,0.0042417036310511,-1.1326032713028069e-07,0.9997695687142246
0.0124993643647028,0.0006761050587868085,0.0024695724743621,4.101497329211199e-06,0.999359520124898
0.006444213843127,0.0156529299020665,0.0131477900497803,3.5718256966139325e-05,1.000816242140754
0.0077401938739095,0.0029502379445029,0.0097146523376543,-5.995995429514687e-05,1.0010428118216577
0.0035337361671938,0.0126881584886923,0.0178668088960812,7.453806251687094e-05,1.001921097207898
0.005051831890412,0.0143035105525669,0.0158352266723101,9.13573347461088e-05,1.0015027184331675
0.0038138508540794,0.0069436078543475,0.0174898153372349,-6.465512027042023e-05,1.0016675765685807
0.0038078102853324,0.0099720805603879,0.018714124790939,-1.351215254467706e-05,1.0020331984676911
0.0055983191453629,0.0051130105786835,0.0150082770126498,-5.643995631658239e-05,1.0016252584950498
0.007182830795884,0.0042076318210757,0.0129621684004666,-9.25956530693998e-05,1.0012377547731257
0.0109799193406189,0.0018091832505817,0.0063222369148295,6.578820641164475e-07,0.999839166200395
0.0090908146894481,0.0027704517713114,0.0092383652393005,-2.8074229947582103e-05,1.0004172852468207
0.0102693442426779,0.0025959061657685,0.0087599191826303,1.40569055766867e-05,1.000043011783522
0.0092931991509352,0.018606085085534,0.0050122399378825,4.0775010892919565e-06,1.000161744200806
